Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,L.grid.SI.Dur.days,L.grid.SI.Area.1,L.grid.SI.Area.2,Location,Spp,Stage,ID.I,ID.2,ID.3,Island,Date.E1,JulianDate.E1,Date.E1.RelNov1,Date.Sample,JulianDate.Sample,Use.Ad.Data,Cul.L.mm,Cul.D.mm,Flipper.L.mm,R.PC1.2,Mass.g,Sex.1.M.F,Sex.2.M.F,Gel.num,Egg.Mass.g,Egg.L.mm,Egg.W.mm,delta.15.N,delta.13.C
20,20,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A2,N10A2,TOR,11/16/2007,2007320,16,11/16/2007,2007320,Yes,46,21.5,194,3.47435,4200,MALE,0,9,127,72.4,55.5,9.1,-24.8
21,21,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A1,N11A1,BIS,11/12/2007,2007316,12,11/12/2007,2007316,Yes,37.8,18.3,174,-1.58014,3400,FEMALE,1,9,122,67.1,55.8,8.7,-25.1
22,22,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A2,N11A2,BIS,11/12/2007,2007316,12,11/12/2007,2007316,Yes,37.7,18.7,180,-0.90714,3600,MALE,0,9,122,67.1,55.8,8.7,-25.1
23,23,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A1,N12A1,BIS,11/12/2007,2007316,12,11/12/2007,2007316,Yes,35.9,19.2,189,-0.31529,3800,FEMALE,1,14a,125,73.9,55.3,9.2,-25
24,24,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A2,N12A2,BIS,11/12/2007,2007316,12,11/12/2007,2007316,Yes,38.2,18.1,185,-0.66605,3950,MALE,0,14a,125,73.9,55.3,8.4,-25.2
25,25,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A1,N13A1,BIS,11/10/2007,2007314,10,11/10/2007,2007314,Yes,38.8,17.2,180,-1.38463,3800,MALE,0,9,138,73.9,57.8,9.6,-25.3
26,26,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A2,N13A2,BIS,11/10/2007,2007314,10,11/10/2007,2007314,Yes,35.3,18.9,187,-0.76183,3800,FEMALE,1,14a,138,73.9,57.8,9.2,-24.4
27,27,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A1,N17A1,BIS,11/12/2007,2007316,12,11/12/2007,2007316,Yes,40.6,18.6,183,-0.05494,3550,MALE,0,9,120,69.7,54.9,8.9,-25.4
28,28,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A2,N17A2,BIS,11/12/2007,2007316,12,11/12/2007,2007316,Yes,40.5,17.9,187,-0.08016,3200,FEMALE,1,9,120,69.7,54.9,8.1,-25.5
31,31,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A1,N21A1,DRE,11/9/2007,2007313,9,11/9/2007,2007313,Yes,39.5,16.7,178,-1.63663,3250,FEMALE,1,3,125,69.6,55.6,9.7,-25.1
32,32,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A2,N21A2,DRE,11/9/2007,2007313,9,11/9/2007,2007313,Yes,37.2,18.1,178,-1.47605,3900,MALE,0,3,125,69.6,55.6,9.7,-25
33,33,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N22,A1,N22A1,DRE,11/9/2007,2007313,9,11/9/2007,2007313,Yes,39.5,17.8,188,-0.26856,3300,FEMALE,1,6b,111,64.6,54.4,9.7,-25.1
34,34,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N22,A2,N22A2,DRE,11/9/2007,2007313,9,11/9/2007,2007313,Yes,40.9,18.9,184,0.24071,3900,MALE,0,6b,111,64.6,54.4,8.8,-25.1
35,35,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N23,A1,N23A1,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,36.4,17,195,-0.76248,3325,FEMALE,1,10,125,73.4,54.9,9.2,-25.2
36,36,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N23,A2,N23A2,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,39.2,21.1,196,1.92641,4150,MALE,0,10,125,73.4,54.9,9.2,-25
37,37,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N24,A1,N24A1,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,38.8,20,190,0.80371,3950,MALE,0,10,119,69,54.9,9.2,-25.1
38,38,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N24,A2,N24A2,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,42.2,18.5,180,0.00383,3550,FEMALE,1,10,119,69,54.9,8,-25.5
41,41,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N26,A1,N26A1,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,36.5,18,182,-1.34609,3150,FEMALE,1,10,127,72.7,55.5,9.7,-24.4
43,43,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N27,A1,N27A1,DRE,11/19/2007,2007323,19,11/19/2007,2007323,Yes,36,18.5,186,-0.88185,3100,FEMALE,1,10,101,64.3,52.8,9.5,-25
44,44,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N27,A2,N27A2,DRE,11/19/2007,2007323,19,11/19/2007,2007323,Yes,44.1,19.7,196,2.34792,4400,MALE,0,10,101,64.3,52.8,9.2,-24.5
45,45,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N28,A1,N28A1,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,37,16.9,185,-1.51372,3000,FEMALE,1,10,114,68.8,54.1,9.4,-25
46,46,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N28,A2,N28A2,DRE,11/16/2007,2007320,16,11/16/2007,2007320,Yes,39.6,18.8,190,0.4038,4600,MALE,0,10,114,68.8,54.1,9.5,-24.1
49,49,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N30,A1,N30A1,DRE,11/13/2007,2007317,13,11/13/2007,2007317,Yes,36,17.9,190,-0.83643,3450,FEMALE,1,10,137,74.2,57.6,9.5,-25.1
50,50,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N30,A2,N30A2,DRE,11/13/2007,2007317,13,11/13/2007,2007317,Yes,42.3,21.2,191,2.25004,4150,MALE,0,10,137,74.2,57.6,8.9,-25.2
51,51,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N21,A1,N21A1,BIS,11/6/2008,2008311,6,11/6/2008,2008311,Yes,39.6,17.7,186,-0.46188,3500,FEMALE,1,11,119,73.6,53.6,8.5,-26.1
52,52,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N21,A2,N21A2,BIS,11/6/2008,2008311,6,11/6/2008,2008311,Yes,40.1,18.9,188,0.39653,4300,MALE,0,11,119,73.6,53.6,8.5,-26.6
53,53,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N22,A1,N22A1,BIS,11/9/2008,2008314,9,11/9/2008,2008314,Yes,35,17.9,190,-1.06031,3450,FEMALE,1,11,125,71.7,55.7,8.2,-26.2
54,54,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N22,A2,N22A2,BIS,11/9/2008,2008314,9,11/9/2008,2008314,Yes,42,19.5,200,2.11619,4050,MALE,0,11,125,71.7,55.7,8.5,-26.3
55,55,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N23,A1,N23A1,BIS,11/9/2008,2008314,9,11/9/2008,2008314,Yes,34.5,18.1,187,-1.32695,2900,FEMALE,1,11,103,64.7,52.7,8.4,-26.5
56,56,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N23,A2,N23A2,BIS,11/9/2008,2008314,9,11/9/2008,2008314,Yes,41.4,18.6,191,0.79402,3700,MALE,0,11,103,64.7,52.7,8.4,-26.3
57,57,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N24,A1,N24A1,BIS,11/15/2008,2008320,15,11/15/2008,2008320,Yes,39,17.5,186,-0.69272,3550,FEMALE,1,11,119,70.7,54.8,8.6,-26.1
58,58,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N24,A2,N24A2,BIS,11/15/2008,2008320,15,11/15/2008,2008320,Yes,40.6,18.8,193,0.87888,3800,MALE,0,11,119,70.7,54.8,8.6,-26
59,59,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N25,A1,N25A1,BIS,11/15/2008,2008320,15,11/15/2008,2008320,Yes,36.5,16.6,181,-2.10533,2850,FEMALE,1,11,120,68.5,56.3,9.1,-25.9
60,60,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N25,A2,N25A2,BIS,11/15/2008,2008320,15,11/15/2008,2008320,Yes,37.6,19.1,194,0.43572,3750,MALE,0,11,120,68.5,56.3,9.1,-25.9
61,61,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N27,A1,N27A1,BIS,11/13/2008,2008318,12,11/13/2008,2008318,Yes,35.7,16.9,185,-1.80476,3150,FEMALE,1,11,101,64.4,52.3,9,-26.4
62,62,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N27,A2,N27A2,BIS,11/13/2008,2008318,12,11/13/2008,2008318,Yes,41.3,21.1,195,2.31283,4400,MALE,0,11,101,64.4,52.3,8.7,-26.4
63,63,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N28,A1,N28A1,BIS,11/13/2008,2008318,12,11/13/2008,2008318,Yes,37.6,17,185,-1.33114,3600,FEMALE,1,11,129,73.5,55.8,8.6,-26.2
64,64,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N28,A2,N28A2,BIS,11/13/2008,2008318,12,11/13/2008,2008318,Yes,41.1,18.2,192,0.61758,4050,MALE,0,11,129,73.5,55.8,8.6,-26.6
65,65,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N29,A1,N29A1,BIS,11/13/2008,2008318,12,11/13/2008,2008318,Yes,36.4,17.1,184,-1.63527,2850,FEMALE,1,17,120,70.3,55.4,8.6,-26.1
66,66,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N29,A2,N29A2,BIS,11/13/2008,2008318,12,11/13/2008,2008318,Yes,41.6,18,192,0.63302,3950,MALE,0,11,120,70.3,55.4,8.9,-26.1
67,67,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N30,A1,N30A1,BIS,11/6/2008,2008311,6,11/6/2008,2008311,Yes,35.5,16.2,195,-1.34998,3350,FEMALE,1,11,94,65.6,50.4,8.6,-26
68,68,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N30,A2,N30A2,BIS,11/6/2008,2008311,6,11/6/2008,2008311,Yes,41.1,19.1,188,0.71691,4100,MALE,0,11,94,65.6,50.4,8.7,-25.8
71,71,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N34,A1,N34A1,TOR,11/14/2008,2008319,14,11/15/2008,2008320,Yes,33.5,19,190,-0.86538,3600,FEMALE,1,12,133,70.4,55.3,7.9,-26.6
72,72,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N34,A2,N34A2,TOR,11/14/2008,2008319,14,11/15/2008,2008320,Yes,39.7,18.4,190,0.23319,3900,MALE,0,12,133,70.4,55.3,9.3,-25.2
73,73,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N35,A1,N35A1,TOR,11/11/2008,2008316,11,11/11/2008,2008316,Yes,39.6,17.2,196,0.13417,3550,FEMALE,1,12,141,72.2,58.7,8.3,-26.6
74,74,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N35,A2,N35A2,TOR,11/11/2008,2008316,11,11/11/2008,2008316,Yes,45.8,18.9,197,2.42624,4150,MALE,0,12,141,72.2,58.7,8.2,-26.5
75,75,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N36,A1,N36A1,TOR,11/8/2008,2008313,8,11/8/2008,2008313,Yes,35.5,17.5,190,-1.14138,3700,FEMALE,1,12,103,67.2,52.2,8.7,-26.2
76,76,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N36,A2,N36A2,TOR,11/8/2008,2008313,8,11/8/2008,2008313,Yes,42.8,18.5,195,1.39413,4250,MALE,0,12,103,67.2,52.2,8.3,-26.4
77,77,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N37,A1,N37A1,TOR,11/6/2008,2008311,6,11/7/2008,2008312,Yes,40.9,16.8,191,-0.18644,3700,FEMALE,1,12,137,72.1,57.6,8.5,-26
78,78,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N37,A2,N37A2,TOR,11/6/2008,2008311,6,11/7/2008,2008312,Yes,37.2,19.4,184,-0.3464,3900,MALE,0,12,137,72.1,57.6,8.4,-26.4
79,79,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N38,A1,N38A1,TOR,11/9/2008,2008314,9,11/10/2008,2008315,Yes,36.2,16.1,187,-1.91137,3550,FEMALE,1,12,118,69.1,55,7.8,-26.5
80,80,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N38,A2,N38A2,TOR,11/9/2008,2008314,9,11/10/2008,2008315,Yes,42.1,19.1,195,1.52692,4000,MALE,0,12,118,69.1,55,9.1,-25.8
81,81,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N39,A1,N39A1,TOR,11/2/2008,2008307,2,11/4/2008,2008309,Yes,34.6,17.2,189,-1.57135,3200,FEMALE,1,12,115,73.1,53.1,7.7,-26.5
82,82,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N39,A2,N39A2,TOR,11/2/2008,2008307,2,11/4/2008,2008309,Yes,42.9,17.6,196,1.06599,4700,MALE,0,12,115,73.1,53.1,8.6,-26.2
83,83,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N40,A1,N40A1,TOR,11/7/2008,2008312,7,11/7/2008,2008312,Yes,36.7,18.8,187,-0.49665,3800,FEMALE,1,12,129,71.1,56.3,7.9,-26.2
84,84,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N40,A2,N40A2,TOR,11/7/2008,2008312,7,11/7/2008,2008312,Yes,35.1,19.4,193,-0.06297,4200,MALE,0,12,129,71.1,56.3,8.9,-26.5
85,85,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N41,A1,N41A1,DRE,11/17/2008,2008322,17,11/17/2008,2008322,Yes,37.3,17.8,191,-0.50991,3350,FEMALE,1,12,114,70,53.3,8.3,-26.4
86,86,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N41,A2,N41A2,DRE,11/17/2008,2008322,17,11/17/2008,2008322,Yes,41.3,20.3,194,1.84309,3550,MALE,0,12,114,70,53.3,9.1,-26.1
87,87,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N42,A1,N42A1,DRE,11/7/2008,2008312,7,11/8/2008,2008313,Yes,36.3,19.5,190,0.00275,3800,MALE,0,12,111,68.5,54,8.6,-26.2
88,88,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N42,A2,N42A2,DRE,11/7/2008,2008312,7,11/8/2008,2008313,Yes,36.9,18.6,189,-0.38091,3500,FEMALE,1,12,111,68.5,54,8.6,-26.1
89,89,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N44,A1,N44A1,DRE,11/8/2008,2008313,8,11/8/2008,2008313,Yes,38.3,19.2,189,0.22203,3950,MALE,0,12,122,68.1,56.9,9.1,-26.1
90,90,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N44,A2,N44A2,DRE,11/8/2008,2008313,8,11/8/2008,2008313,Yes,38.9,18.8,190,0.24708,3600,FEMALE,1,12,122,68.1,56.9,8.4,-26.1
91,91,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N45,A1,N45A1,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,35.7,18,202,0.14943,3550,FEMALE,1,13,123,69.3,56,8.5,-26.1
92,92,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N45,A2,N45A2,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,41.1,18.1,205,1.65784,4300,MALE,0,13,123,69.3,56,8.8,-25.8
93,93,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N46,A1,N46A1,DRE,11/5/2008,2008310,5,11/5/2008,2008310,Yes,34,17.1,185,-2.08886,3400,FEMALE,1,13,124,71.2,54.9,8,-26.7
94,94,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N46,A2,N46A2,DRE,11/5/2008,2008310,5,11/5/2008,2008310,Yes,39.6,18.1,186,-0.26888,4450,MALE,0,13,124,71.2,54.9,8.5,-26.4
95,95,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N48,A1,N48A1,DRE,11/17/2008,2008322,17,11/17/2008,2008322,Yes,36.2,17.3,187,-1.33236,3300,FEMALE,1,13,129,69.5,57.9,8.9,-26.3
96,96,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N48,A2,N48A2,DRE,11/17/2008,2008322,17,11/17/2008,2008322,Yes,40.8,18.9,208,2.22787,4300,MALE,0,13,129,69.5,57.9,8.5,-26.6
97,97,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N49,A1,N49A1,DRE,11/7/2008,2008312,7,11/8/2008,2008313,Yes,38.1,18.6,190,-0.02852,3700,FEMALE,1,13,126,68.1,57.2,8.1,-26.5
98,98,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N49,A2,N49A2,DRE,11/7/2008,2008312,7,11/8/2008,2008313,Yes,40.3,18.5,196,0.91815,4350,MALE,0,13,126,68.1,57.2,8.4,-26
99,99,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N50,A1,N50A1,DRE,11/10/2008,2008315,10,11/10/2008,2008315,Yes,33.1,16.1,178,-3.35898,2900,FEMALE,1,13,113,70,53.4,9,-26.2
100,100,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N50,A2,N50A2,DRE,11/10/2008,2008315,10,11/10/2008,2008315,Yes,43.2,18.5,192,1.23249,4100,MALE,0,13,113,70,53.4,9,-26
101,101,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N47,A1,N47A1,BIS,11/9/2009,2009313,9,11/9/2009,2009313,Yes,35,17.9,192,-0.89285,3725,FEMALE,1,18,128,72.3,56.2,8.8,-26.3
102,102,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N47,A2,N47A2,BIS,11/9/2009,2009313,9,11/9/2009,2009313,Yes,41,20,203,2.38475,4725,MALE,0,18,128,72.3,56.2,9,-26.4
103,103,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N49,A1,N49A1,BIS,11/15/2009,2009319,15,11/15/2009,2009319,Yes,37.7,16,183,-1.95872,3075,FEMALE,1,18,118,70.5,54.9,9.2,-26.2
104,104,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N49,A2,N49A2,BIS,11/15/2009,2009319,15,11/15/2009,2009319,Yes,37.8,20,190,0.57983,4250,MALE,0,18,118,70.5,54.9,9.5,-25.7
105,105,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N51,A1,N51A1,BIS,11/15/2009,2009319,15,11/17/2009,2009321,Yes,37.9,18.6,193,0.17789,2925,.,.,19,112,68.7,53.6,9,-25.9
106,106,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N51,A2,N51A2,BIS,11/15/2009,2009319,15,11/17/2009,2009321,Yes,39.7,18.9,184,-0.02795,3550,.,.,19,112,68.7,53.6,8.9,-25.8
107,107,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N53,A1,N53A1,BIS,11/15/2009,2009319,15,11/15/2009,2009319,Yes,38.6,17.2,199,0.16149,3750,FEMALE,1,18,112,69.9,53.3,8.8,-26.5
108,108,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N53,A2,N53A2,BIS,11/15/2009,2009319,15,11/15/2009,2009319,Yes,38.2,20,190,0.66938,3900,MALE,0,18,112,69.9,53.3,9.6,-25.7
109,109,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N55,A1,N55A1,BIS,11/19/2009,2009323,19,11/20/2009,2009324,Yes,38.1,17,181,-1.55412,3175,FEMALE,1,20b,88,60.8,51.2,9.8,-25.3
110,110,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N55,A2,N55A2,BIS,11/19/2009,2009323,19,11/20/2009,2009324,Yes,43.2,19,197,1.8924,4775,MALE,0,20b,88,60.8,51.2,9.3,-25.5
111,111,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N58,A1,N58A1,BIS,11/12/2009,2009316,12,11/12/2009,2009316,Yes,38.1,16.5,198,-0.37194,3825,FEMALE,1,18,140,73.3,58.2,8.4,-26.6
112,112,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N58,A2,N58A2,BIS,11/12/2009,2009316,12,11/12/2009,2009316,Yes,45.6,20.3,191,2.55459,4600,MALE,0,18,140,73.3,58.2,8.7,-26.3
113,113,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N60,A1,N60A1,BIS,11/14/2009,2009318,14,11/15/2009,2009319,Yes,39.7,17.7,193,0.14662,3200,FEMALE,1,18,124,68.2,56.7,9,-26.1
114,114,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N60,A2,N60A2,BIS,11/14/2009,2009318,14,11/15/2009,2009319,Yes,42.2,19.5,197,1.90977,4275,MALE,0,18,124,68.2,56.7,8.8,-26.4
115,115,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N61,A1,N61A1,BIS,11/17/2009,2009321,17,11/17/2009,2009321,Yes,39.6,20.7,191,1.4043,3900,FEMALE,1,19,120,67.2,56,8.8,-26.8
116,116,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N61,A2,N61A2,BIS,11/17/2009,2009321,17,11/17/2009,2009321,Yes,42.7,18.3,196,1.35897,4075,MALE,0,19,120,67.2,56,8.9,-26.4
117,117,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A1,N63A1,TOR,11/18/2009,2009322,18,11/19/2009,2009323,Yes,38.6,17,188,-0.85606,2900,FEMALE,1,19,122,71.7,54.8,9.2,-25.8
118,118,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A2,N63A2,TOR,11/18/2009,2009322,18,11/19/2009,2009323,Yes,37.3,20.5,199,1.46272,3775,MALE,0,19,122,71.7,54.8,9.5,-26.4
120,120,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N64,A2,N64A2,TOR,11/22/2009,2009326,22,11/22/2009,2009326,Yes,41.1,18.6,189,0.55939,3325,MALE,0,20b,104,67.3,52.4,9.3,-26.1
123,123,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A1,N67A1,TOR,11/16/2009,2009320,16,11/16/2009,2009320,Yes,40.2,17,176,-1.50262,3450,FEMALE,1,18,136,71.7,57.5,9.3,-25.6
124,124,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A2,N67A2,TOR,11/16/2009,2009320,16,11/16/2009,2009320,Yes,41.4,18.5,202,1.66681,3875,MALE,0,18,136,71.7,57.5,9.6,-25.4
125,125,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A1,N69A1,TOR,11/18/2009,2009322,18,11/18/2009,2009322,Yes,35.2,15.9,186,-2.31548,3050,FEMALE,1,19,99,68.2,50.6,8.8,-26
126,126,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A2,N69A2,TOR,11/18/2009,2009322,18,11/18/2009,2009322,Yes,40.6,19,199,1.47777,4000,MALE,0,19,99,68.2,50.6,9.2,-25.6
127,127,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A1,N71A1,TOR,11/21/2009,2009325,21,11/21/2009,2009325,Yes,38.8,17.6,191,-0.27058,3275,FEMALE,1,20b,127,73,55.3,8.9,-25.9
128,128,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A2,N71A2,TOR,11/21/2009,2009325,21,11/21/2009,2009325,Yes,41.5,18.3,195,1.00658,4300,MALE,0,20b,127,73,55.3,8.5,-26
