Sample.Num.Overall,Sample.Num.Yr,Year.1,Year.2,Location,Spp,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,delta.15.N,delta.13.C
660,122,2008/2009,2,AVI,ADPE,CK POP,AVI POP8,AVI,1/23/2009,2009023,8.4,-25.9
661,123,2008/2009,2,AVI,ADPE,CK POP,AVI POP9,AVI,1/23/2009,2009023,8.7,-25
662,124,2008/2009,2,AVI,ADPE,CK POP,AVI POP10,AVI,1/23/2009,2009023,8,-25.7
663,125,2008/2009,2,AVI,ADPE,CK POP,AVI POP11,AVI,1/23/2009,2009023,8.3,-25.4
664,126,2008/2009,2,AVI,ADPE,CK POP,AVI POP12,AVI,1/23/2009,2009023,8.1,-25.4
665,127,2008/2009,2,AVI,ADPE,CK POP,AVI POP13,AVI,1/23/2009,2009023,8.3,-25.8
666,128,2008/2009,2,AVI,ADPE,CK POP,AVI POP14,AVI,1/23/2009,2009023,8.4,-25.5
667,129,2008/2009,2,AVI,ADPE,CK POP,AVI POP15,AVI,1/23/2009,2009023,8.2,-25.5
668,130,2008/2009,2,AVI,ADPE,CK POP,AVI POP16,AVI,1/23/2009,2009023,8.1,-25.4
669,131,2008/2009,2,AVI,ADPE,CK POP,AVI POP17,AVI,1/23/2009,2009023,8.3,-25.5
671,133,2008/2009,2,AVI,ADPE,CK POP,AVI POP19,AVI,1/23/2009,2009023,8.1,-25.8
672,134,2008/2009,2,AVI,ADPE,CK POP,AVI POP20,AVI,1/23/2009,2009023,8.3,-25.5
673,135,2008/2009,2,AVI,ADPE,CK POP,AVI POP21,AVI,1/23/2009,2009023,8,-25.8
674,136,2008/2009,2,AVI,ADPE,CK POP,AVI POP22,AVI,1/23/2009,2009023,8.3,-25.6
675,137,2008/2009,2,AVI,ADPE,CK POP,AVI POP23,AVI,1/23/2009,2009023,8.3,-25.4
950,138,2009/2010,3,PAL,ADPE,CK POP,PAL POP1,DRE,1/22/2010,2010022,8.2,-26.4
951,139,2009/2010,3,PAL,ADPE,CK POP,PAL POP2,DRE,1/22/2010,2010022,7.7,-26.2
952,140,2009/2010,3,PAL,ADPE,CK POP,PAL POP3,DRE,1/22/2010,2010022,7.6,-26.3
953,141,2009/2010,3,PAL,ADPE,CK POP,PAL POP4,DRE,1/22/2010,2010022,7.5,-26.3
954,142,2009/2010,3,PAL,ADPE,CK POP,PAL POP5,DRE,1/22/2010,2010022,7.9,-26.6
955,143,2009/2010,3,PAL,ADPE,CK POP,PAL POP6,DRE,1/22/2010,2010022,7.3,-26.7
956,144,2009/2010,3,PAL,ADPE,CK POP,PAL POP7,BIS,1/22/2010,2010022,7.7,-26.6
958,146,2009/2010,3,PAL,ADPE,CK POP,PAL POP9,BIS,1/22/2010,2010022,7.6,-26.6
959,147,2009/2010,3,PAL,ADPE,CK POP,PAL POP10,BIS,1/22/2010,2010022,7.5,-26.7
960,148,2009/2010,3,PAL,ADPE,CK POP,PAL POP11,BIS,1/22/2010,2010022,7.8,-26.5
961,149,2009/2010,3,PAL,ADPE,CK POP,PAL POP12,TOR,1/22/2010,2010022,7.6,-26.7
962,150,2009/2010,3,PAL,ADPE,CK POP,PAL POP13,TOR,1/22/2010,2010022,7.7,-26.8
963,151,2009/2010,3,PAL,ADPE,CK POP,PAL POP14,TOR,1/22/2010,2010022,7.9,-26.6
964,152,2009/2010,3,PAL,ADPE,CK POP,PAL POP15,TOR,1/22/2010,2010022,7.6,-26.7
965,153,2009/2010,3,PAL,ADPE,CK POP,PAL POP16,TOR,1/22/2010,2010022,7.6,-26.9
966,154,2009/2010,3,PAL,ADPE,CK POP,PAL POP17,TOR,1/22/2010,2010022,7.7,-26.8
997,185,2009/2010,3,AVI,ADPE,CK POP,AVI POP1,AVI,1/22/2010,2010022,7.8,-26.1
998,186,2009/2010,3,AVI,ADPE,CK POP,AVI POP2,AVI,1/22/2010,2010022,8.3,-25.6
999,187,2009/2010,3,AVI,ADPE,CK POP,AVI POP3,AVI,1/22/2010,2010022,8.1,-26.2
1000,188,2009/2010,3,AVI,ADPE,CK POP,AVI POP4,AVI,1/22/2010,2010022,8.2,-26.1
1001,189,2009/2010,3,AVI,ADPE,CK POP,AVI POP5,AVI,1/22/2010,2010022,8.2,-26.1
1002,190,2009/2010,3,AVI,ADPE,CK POP,AVI POP6,AVI,1/22/2010,2010022,8.1,-25.9
1003,191,2009/2010,3,AVI,ADPE,CK POP,AVI POP7,AVI,1/22/2010,2010022,8.4,-25.8
1004,192,2009/2010,3,AVI,ADPE,CK POP,AVI POP8,AVI,1/22/2010,2010022,8.3,-25.3
1005,193,2009/2010,3,AVI,ADPE,CK POP,AVI POP9,AVI,1/22/2010,2010022,8.5,-25.4
1006,194,2009/2010,3,AVI,ADPE,CK POP,AVI POP10,AVI,1/22/2010,2010022,8.5,-25.8
1007,195,2009/2010,3,AVI,ADPE,CK POP,AVI POP11,AVI,1/22/2010,2010022,8.4,-25.5
1008,196,2009/2010,3,AVI,ADPE,CK POP,AVI POP12,AVI,1/22/2010,2010022,8.3,-26
1009,197,2009/2010,3,AVI,ADPE,CK POP,AVI POP13,AVI,1/22/2010,2010022,8.2,-25.1
1010,198,2009/2010,3,AVI,ADPE,CK POP,AVI POP14,AVI,1/22/2010,2010022,8.3,-25.4
1011,199,2009/2010,3,AVI,ADPE,CK POP,AVI POP15,AVI,1/22/2010,2010022,8.3,-25.6
1012,200,2009/2010,3,AVI,ADPE,CK POP,AVI POP16,AVI,1/22/2010,2010022,7.8,-25.8
1013,201,2009/2010,3,AVI,ADPE,CK POP,AVI POP17,AVI,1/22/2010,2010022,8.1,-25.9
1014,202,2009/2010,3,AVI,ADPE,CK POP,AVI POP18,AVI,1/22/2010,2010022,8.2,-25.8
1015,203,2009/2010,3,AVI,ADPE,CK POP,AVI POP19,AVI,1/22/2010,2010022,8.3,-26
1016,204,2009/2010,3,AVI,ADPE,CK POP,AVI POP20,AVI,1/22/2010,2010022,8.2,-25.9
1017,205,2009/2010,3,AVI,ADPE,CK POP,AVI POP21,AVI,1/22/2010,2010022,8.2,-25.8
1018,206,2009/2010,3,AVI,ADPE,CK POP,AVI POP22,AVI,1/22/2010,2010022,8.4,-26.1
1019,207,2009/2010,3,AVI,ADPE,CK POP,AVI POP23,AVI,1/22/2010,2010022,8.8,-25.5
1020,208,2009/2010,3,CHA,ADPE,CK POP,CHA POP1,CHA,1/25/2010,2010025,9.4,-23.2
1021,209,2009/2010,3,CHA,ADPE,CK POP,CHA POP2,CHA,1/25/2010,2010025,9.1,-23
1022,210,2009/2010,3,CHA,ADPE,CK POP,CHA POP3,CHA,1/25/2010,2010025,9.3,-23.4
1023,211,2009/2010,3,CHA,ADPE,CK POP,CHA POP4,CHA,1/25/2010,2010025,8.9,-23.2
1024,212,2009/2010,3,CHA,ADPE,CK POP,CHA POP5,CHA,1/25/2010,2010025,9,-23.2
1025,213,2009/2010,3,CHA,ADPE,CK POP,CHA POP6,CHA,1/25/2010,2010025,9.1,-22.9
1026,214,2009/2010,3,CHA,ADPE,CK POP,CHA POP7,CHA,1/25/2010,2010025,9.2,-22.8
1027,215,2009/2010,3,CHA,ADPE,CK POP,CHA POP8,CHA,1/25/2010,2010025,9.1,-23.2
1028,216,2009/2010,3,CHA,ADPE,CK POP,CHA POP9,CHA,1/25/2010,2010025,9,-23.2
1029,217,2009/2010,3,CHA,ADPE,CK POP,CHA POP10,CHA,1/25/2010,2010025,9,-23
1030,218,2009/2010,3,CHA,ADPE,CK POP,CHA POP11,CHA,1/25/2010,2010025,9.3,-22.8
1031,219,2009/2010,3,CHA,ADPE,CK POP,CHA POP12,CHA,1/25/2010,2010025,9.1,-23.2
1032,220,2009/2010,3,CHA,ADPE,CK POP,CHA POP13,CHA,1/25/2010,2010025,8.9,-22.9
1033,221,2009/2010,3,CHA,ADPE,CK POP,CHA POP14,CHA,1/25/2010,2010025,9.1,-23.5
1034,222,2009/2010,3,CHA,ADPE,CK POP,CHA POP15,CHA,1/25/2010,2010025,8.7,-23.1
